iter	Passed	Remaining
678	1376	650
679	1378	648
680	1381	647
681	1385	645
682	1388	644
683	1390	642
684	1392	640
685	1394	638
686	1396	636
687	1398	634
688	1402	632
689	1407	632
690	1410	630
691	1412	628
692	1413	626
693	1420	626
694	1422	624
695	1424	622
696	1426	619
697	1428	617
698	1432	616
699	1436	615
700	1438	613
701	1441	611
702	1443	609
703	1447	608
704	1451	607
705	1453	605
706	1454	602
707	1456	600
708	1458	598
709	1460	596
710	1465	595
711	1467	593
712	1468	591
713	1470	588
714	1472	586
715	1474	584
716	1478	583
717	1480	581
718	1482	579
719	1484	577
720	1486	575
721	1489	573
722	1492	571
723	1495	569
724	1497	567
725	1498	565
726	1500	563
727	1502	561
728	1504	559
729	1508	557
730	1511	556
731	1512	553
732	1514	551
733	1515	549
734	1517	547
735	1519	544
736	1521	542
737	1524	541
738	1526	539
739	1528	536
740	1529	534
741	1531	532
742	1533	530
743	1535	528
744	1538	526
745	1540	524
746	1542	522
747	1543	520
748	1545	517
749	1546	515
750	1548	513
751	1550	511
752	1553	509
753	1554	507
754	1556	504
755	1557	502
756	1558	500
757	1560	498
758	1561	495
759	1563	493
760	1566	491
761	1567	489
762	1568	487
763	1570	485
764	1571	482
765	1572	480
766	1574	478
767	1576	476
768	1578	474
769	1581	472
770	1583	470
771	1584	468
772	1586	465
773	1588	463
774	1590	461
775	1593	459
776	1597	458
777	1598	456
778	1599	453
779	1600	451
780	1602	449
781	1603	447
782	1604	444
783	1606	442
784	1607	440
785	1609	438
786	1612	436
787	1613	434
788	1614	431
789	1616	429
790	1617	427
791	1618	425
792	1619	422
793	1621	420
794	1622	418
795	1623	416
796	1626	414
797	1627	411
798	1628	409
799	1630	407
800	1631	405
801	1632	403
802	1634	400
803	1635	398
804	1636	396
805	1638	394
806	1641	392
807	1644	390
808	1645	388
809	1647	386
810	1648	384
811	1651	382
812	1653	380
813	1655	378
814	1659	376
815	1661	374
816	1662	372
817	1664	370
818	1666	368
819	1670	366
820	1671	364
821	1673	362
822	1676	360
823	1678	358
824	1680	356
825	1683	354
826	1685	352
827	1687	350
828	1688	348
829	1689	346
830	1691	343
831	1692	341
832	1694	339
833	1699	338
834	1701	336
835	1702	334
836	1704	331
837	1706	329
838	1708	327
839	1709	325
840	1714	324
841	1715	321
842	1717	319
843	1718	317
844	1720	315
845	1721	313
846	1722	311
847	1724	309
848	1725	306
849	1728	305
850	1730	302
851	1732	300
852	1733	298
853	1735	296
854	1736	294
855	1737	292
856	1739	290
857	1740	288
858	1744	286
859	1745	284
860	1747	282
861	1749	280
862	1751	278
863	1752	275
864	1754	273
865	1755	271
866	1757	269
867	1760	267
868	1762	265
869	1763	263
870	1765	261
871	1766	259
872	1768	257
873	1769	255
874	1772	253
875	1774	251
876	1777	249
877	1779	247
878	1781	245
879	1782	243
880	1784	241
881	1787	239
882	1789	237
883	1791	235
884	1792	232
885	1794	230
886	1795	228
887	1797	226
888	1799	224
889	1801	222
890	1803	220
891	1804	218
892	1806	216
893	1807	214
894	1808	212
895	1810	210
896	1811	208
897	1812	205
898	1814	203
899	1815	201
900	1817	199
901	1819	197
902	1820	195
903	1821	193
904	1823	191
905	1824	189
906	1826	187
907	1827	185
908	1828	183
909	1830	181
910	1832	178
911	1833	176
912	1834	174
913	1836	172
914	1837	170
915	1838	168
916	1840	166
917	1842	164
918	1843	162
919	1844	160
920	1846	158
921	1848	156
922	1849	154
923	1850	152
924	1852	150
925	1853	148
926	1855	146
927	1856	144
928	1857	141
929	1859	139
930	1860	137
931	1862	135
932	1864	133
933	1865	131
934	1867	129
935	1868	127
936	1870	125
937	1871	123
938	1872	121
939	1874	119
940	1875	117
941	1878	115
942	1880	113
943	1881	111
944	1883	109
945	1884	107
946	1886	105
947	1887	103
948	1888	101
949	1890	99
950	1892	97
951	1893	95
952	1895	93
953	1896	91
954	1898	89
955	1899	87
956	1901	85
957	1902	83
958	1903	81
959	1905	79
960	1907	77
961	1909	75
962	1910	73
963	1911	71
964	1913	69
965	1914	67
966	1915	65
967	1917	63
968	1918	61
969	1920	59
970	1922	57
971	1923	55
972	1925	53
973	1926	51
974	1928	49
975	1929	47
976	1930	45
977	1931	43
978	1933	41
979	1935	39
980	1937	37
981	1938	35
982	1939	33
983	1941	31
984	1943	29
985	1944	27
986	1945	25
987	1947	23
988	1948	21
989	1950	19
990	1951	17
991	1953	15
992	1954	13
993	1956	11
994	1958	9
995	1959	7
996	1961	5
997	1964	3
998	1966	1
999	1968	0
